word,part_of_speech,english_word,sense
의도(意圖)하다,verb,mean,to intend; plan on doing
뜻,noun,meaning,symbolic value of something
의미,noun,meaning,symbolic value of something
의의,noun,meaning,symbolic value of something
고기,noun,meat,animal flesh used as food
살,noun,meat,animal flesh used as food
-육,noun,meat,animal flesh used as food
만나다,verb,meet,to come face to face with by accident; to encounter
뵙다,verb,meet,to come face to face with by accident; to encounter
만나기,noun,meeting,action noun of the verb to meet
회원,noun,member,one who officially belongs to a group
멤버,noun,member,one who officially belongs to a group
메뉴,noun,menu,details of the food to be served at a banquet
메뉴판,noun,menu,details of the food to be served at a banquet
소식,noun,message,"communication, concept or information conveyed"
메시지,noun,message,"communication, concept or information conveyed"
전언,noun,message,"communication, concept or information conveyed"
계량기,noun,meter,measuring instrument
한밤중,noun,midnight,middle of the night
한밤,noun,midnight,middle of the night
야밤,noun,midnight,middle of the night
밤중,noun,midnight,middle of the night
반야,noun,midnight,middle of the night
심야,noun,midnight,middle of the night
마일,noun,mile,measure of length
젖,noun,milk,liquid
유즙,noun,milk,liquid
밀크,noun,milk,liquid
우유,noun,milk,liquid
분,noun,minute,unit of time
놓치다,verb,miss,to fail to hit
실수,noun,mistake,an error
잘못,noun,mistake,an error
착각,noun,mistake,an error
착오,noun,mistake,an error
에러,noun,mistake,an error
